四半期,国内総生産(支出側),民間最終消費支出,家計最終消費支出,除く持ち家の帰属家賃,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,純輸出,輸出,輸入,開差,交易利得,国内総所得,純受取,受取,支払,国民総所得,国内需要,民間需要,公的需要,総固定資本形成,最終需要
2005/ 1- 3.,506408 ,283193 ,277821 ,233765 ,25561 ,81795 ,1173 ,92380 ,31690 ,188 ,(7502),66841 ,74344 ,(2070),16159 ,522567 ,10325 ,14207 ,3883 ,532892 ,515448 ,391621 ,123785 ,138485 ,504670 
4- 6.,510317 ,285021 ,279582 ,235389 ,25349 ,84634 ,1304 ,91986 ,29700 ,(19),(5999),69696 ,75695 ,(1658),14157 ,524474 ,11534 ,15623 ,4089 ,536008 ,517700 ,396239 ,121366 ,139375 ,508636 
7- 9.,515517 ,287712 ,282214 ,237871 ,25862 ,86517 ,772 ,91823 ,30165 ,18 ,(5955),71909 ,77864 ,(1398),12650 ,528166 ,12251 ,16387 ,4136 ,540417 ,522569 ,400802 ,121659 ,142243 ,514283 
10-12.,516438 ,287796 ,282261 ,237766 ,26160 ,85113 ,461 ,92236 ,29550 ,(3),(3500),74404 ,77904 ,(1376),11479 ,527916 ,13164 ,17826 ,4662 ,541081 ,521049 ,399450 ,121496 ,140485 ,515510 
2006/ 1- 3.,517235 ,288789 ,283244 ,238637 ,25894 ,84757 ,(231),91970 ,30332 ,33 ,(3132),76124 ,79256 ,(1176),9288 ,526523 ,13871 ,18956 ,5085 ,540394 ,521257 ,399182 ,121981 ,140602 ,516926 
4- 6.,518000 ,288471 ,282896 ,238134 ,25828 ,86146 ,(84),92403 ,29169 ,(25),(3017),77358 ,80375 ,(891),9304 ,527304 ,13751 ,19205 ,5454 ,541055 ,521722 ,400339 ,121283 ,140880 ,517616 
7- 9.,517004 ,286240 ,280622 ,235692 ,25877 ,86302 ,759 ,92455 ,27581 ,44 ,(1522),78837 ,80359 ,(731),8004 ,525008 ,14352 ,19950 ,5597 ,539361 ,519148 ,399105 ,119937 ,139590 ,515767 
10-12.,524000 ,290591 ,284977 ,239909 ,25830 ,87879 ,649 ,92401 ,28008 ,(10),(476),79749 ,80225 ,(872),8602 ,532602 ,15194 ,21401 ,6207 ,547796 ,525262 ,404927 ,120216 ,141581 ,522911 
2007/ 1- 3.,527458 ,290783 ,285214 ,239977 ,25419 ,88204 ,2416 ,92931 ,27794 ,(109),748 ,81678 ,80929 ,(729),8281 ,535739 ,16278 ,22909 ,6631 ,552017 ,527371 ,406814 ,120432 ,141325 ,524765 
4- 6.,527592 ,292416 ,286901 ,241524 ,24983 ,87222 ,1001 ,93781 ,27144 ,140 ,1275 ,83599 ,82324 ,(368),7865 ,535457 ,16982 ,23159 ,6178 ,552438 ,526771 ,405675 ,120978 ,139279 ,525976 
7- 9.,524769 ,289547 ,284068 ,238563 ,22943 ,86152 ,1663 ,93633 ,26755 ,47 ,4131 ,85739 ,81608 ,(102),6023 ,530792 ,15244 ,23189 ,7945 ,546036 ,520940 ,400480 ,120350 ,135873 ,522621 
10-12.,527086 ,290014 ,284559 ,238942 ,20446 ,86066 ,2967 ,94379 ,27315 ,75 ,5652 ,88174 ,82523 ,173 ,1748 ,528834 ,16975 ,23956 ,6981 ,545809 ,521591 ,399828 ,121667 ,133949 ,523646 
2008/ 1- 3.,528994 ,291286 ,285840 ,240085 ,21057 ,86764 ,1668 ,94447 ,26632 ,89 ,6756 ,90400 ,83643 ,296 ,(428),528566 ,16439 ,22477 ,6039 ,545005 ,522257 ,401047 ,121106 ,134579 ,526835 
4- 6.,525793 ,288003 ,282596 ,236674 ,21917 ,85371 ,4361 ,93189 ,25694 ,(41),7117 ,88559 ,81442 ,182 ,(2677),523116 ,12952 ,18844 ,5892 ,536068 ,518769 ,399870 ,118778 ,133069 ,521096 
7- 9.,519296 ,287139 ,281773 ,235682 ,22462 ,84001 ,(287),93178 ,25615 ,(43),6989 ,88721 ,81733 ,244 ,(6882),512415 ,13716 ,19168 ,5452 ,526131 ,512250 ,393458 ,118690 ,132109 ,519213 
10-12.,506538 ,282686 ,277285 ,230999 ,22280 ,81265 ,7080 ,93596 ,25558 ,52 ,(5569),77460 ,83029 ,(411),1345 ,507883 ,12329 ,17482 ,5154 ,520211 ,512796 ,393521 ,119178 ,129083 ,498954 
2009/ 1- 3.,482193 ,281328 ,275829 ,229363 ,20322 ,76333 ,(3457),93944 ,26351 ,(92),(11918),57735 ,69653 ,(617),7173 ,489366 ,11656 ,16104 ,4449 ,501022 ,494659 ,374526 ,120107 ,122946 ,485659 
4- 6.,491525 ,283855 ,278263 ,231670 ,18333 ,73967 ,(4342),95242 ,28351 ,8 ,(3742),62943 ,66685 ,(148),7542 ,499067 ,13117 ,17076 ,3959 ,512184 ,495366 ,371894 ,123486 ,120558 ,495734 
